# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
萬用填充項擠壓-同領域,勝博殿外場假日計時服務員[台南西門店],餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,洗碗人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,外送人員,西式廚師,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,洗碗人員,門市／店員／專櫃人員,餐廚助手,外送人員,西式廚師
萬用填充項擠壓-同領域,外場麵包台人員,餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員,售票／收銀人員,洗碗人員,餐飲服務人員,咖啡師,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員,售票／收銀人員,洗碗人員,咖啡師
萬用填充項擠壓-同領域,"月薪【38,000~43,000】欣欣百貨店【涮乃葉】日式火鍋 正職人員",餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,日式廚師,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,西式廚師,品管／品保主管,餐廚助手,餐飲主管,餐飲服務人員,調酒師／吧台人員,日式廚師,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,西式廚師,品管／品保主管,餐廚助手,餐飲主管
萬用填充項擠壓-同領域,"月薪【38,000~43,000】統一時代市府店【涮乃葉】-營運正職人員",餐飲服務人員,餐廚助手,,,,西式廚師,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,品管／品保主管,餐飲服務人員,餐廚助手,日式廚師,其他料理廚師,餐飲服務人員,西式廚師,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,品管／品保主管,餐廚助手,日式廚師,其他料理廚師
萬用填充項擠壓-同領域,"月薪【38,000~43,000】板橋遠百店【涮乃葉】日式火鍋 -營運正職人員",餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,餐飲主管,日式廚師,品管／品保主管,店長／門市管理人員,冷熱飲調製人員,西式廚師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,餐飲主管,日式廚師,品管／品保主管,店長／門市管理人員,冷熱飲調製人員,西式廚師
萬用填充項擠壓-同領域,"月薪【38,000~43,000】汐止遠雄店【涮乃葉】日式火鍋-營運正職人員",餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,餐飲主管,日式廚師,品管／品保主管,店長／門市管理人員,冷熱飲調製人員,西式廚師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,餐飲主管,日式廚師,品管／品保主管,店長／門市管理人員,冷熱飲調製人員,西式廚師
萬用填充項擠壓-同領域,46 新莊中正餐廳 服務員(兼職),餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,外送人員,藥師助理,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,外送人員,藥師助理
萬用填充項擠壓-同領域,365 三重三和餐廳 服務員(兼職),餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,售票／收銀人員,咖啡師,餐飲主管,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,售票／收銀人員,咖啡師,餐飲主管
,◆歡迎暑假打工族◆大寮上市櫃科技公司◆徵技術員,組裝組立技術人員,包裝員／作業員,機械加工技術人員,機械操作人員,工讀生,電機技師／工程師,電機設備裝配員,技術人員,水電工,智慧製程工程師,PLC／自動控制工程師,模具技術人員,CNC車床人員,塑膠押出技術人員,機械加工技術人員,機械加工技術人員,電機技師／工程師,電機設備裝配員,技術人員,水電工,智慧製程工程師,PLC／自動控制工程師,模具技術人員,CNC車床人員,塑膠押出技術人員
,管理部主管,行政主管,人事／人力資源主管,總務主管,經營管理主管,專案業務主管,資材主管,店長／門市管理人員,儲備幹部,品管／品保主管,電機工程主管,旅遊休閒類主管,經營管理主管,客服主管,產品經理,維修技術主管,經營管理主管,資材主管,店長／門市管理人員,儲備幹部,品管／品保主管,電機工程主管,旅遊休閒類主管,客服主管,產品經理,維修技術主管
萬用填充項擠壓-同領域,456 台北台大餐廳 服務員(兼職),餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,售票／收銀人員,餐飲主管,咖啡師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,外送人員,售票／收銀人員,餐飲主管,咖啡師
萬用填充項擠壓-跨領域(高信心),晚班工讀15-23時薪$196起薪,門市／店員／專櫃人員,售票／收銀人員,,,,生鮮處理人員,冷熱飲調製人員,倉管／物料管理員,外務／快遞／送貨,倉儲物流人員,房務人員,遊樂景點工作人員,調酒師／吧台人員,資材人員,售票／收銀人員,售票／收銀人員,生鮮處理人員,冷熱飲調製人員,倉管／物料管理員,外務／快遞／送貨,倉儲物流人員,房務人員,遊樂景點工作人員,調酒師／吧台人員,資材人員
,產品推廣人員/助理(台中),活動企劃人員,產品企劃人員,客服工程師,業務工程師,國內業務人員,國貿助理,行銷企劃助理,採購助理,秘書,業務助理,活動企劃人員,電腦操作／資料輸入,媒體公關人員,行政人員,執行製作／助理,活動企劃人員,國貿助理,行銷企劃助理,採購助理,秘書,業務助理,電腦操作／資料輸入,媒體公關人員,行政人員,執行製作／助理
,營業專員(籌備幹部),太陽能技術工程師,現場規劃工程師,國內業務人員,產品企劃人員,通路開發人員,儲備幹部,客服主管,國內業務主管,國外業務主管,資材主管,產品企劃主管,產品經理,國內業務人員,資材人員,財務／會計主管,國內業務人員,儲備幹部,客服主管,國內業務主管,國外業務主管,資材主管,產品企劃主管,產品經理,資材人員,財務／會計主管
,業務司機(月薪40000元起，電洽0919-089168),外務／快遞／送貨,小客車／小貨車司機,大貨車司機,國內業務人員,通路開發人員,國外業務人員,國貿人員,報關人員,廣告AE,空運／船務,國內業務人員,文字客服,國貿助理,國外業務主管,人力／外勞仲介,國內業務人員,國外業務人員,國貿人員,報關人員,廣告AE,空運／船務,文字客服,國貿助理,國外業務主管,人力／外勞仲介
萬用填充項擠壓-同領域,豬烤官2.0 虎尾店誠徵 外場計時人員,餐飲服務人員,餐廚助手,工讀生,總機／接待／櫃檯人員,客服人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,洗碗人員,餐廚助手,餐飲服務人員,外送人員,西式廚師,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,洗碗人員,餐飲服務人員,外送人員,西式廚師
,行政／出貨助理（固定休六日）,行政人員,行政助理,活動企劃人員,社群經營人員,客服人員,採購助理,秘書,國貿助理,電腦操作／資料輸入,業務助理,財務／會計助理,行政人員,行銷企劃助理,排版人員,生管／助理,行政人員,採購助理,秘書,國貿助理,電腦操作／資料輸入,業務助理,財務／會計助理,行銷企劃助理,排版人員,生管／助理
,宴會訂席主管  業務經理職缺(新店館),國內業務人員,行銷企劃人員,婚禮企劃人員,產品經理,客服人員,國內業務主管,國外業務主管,儲備幹部,客服主管,產品企劃主管,國內業務人員,長照機構業務負責人,廣告／行銷企劃主管,專案業務主管,飯店／旅館主管,國內業務人員,國內業務主管,國外業務主管,儲備幹部,客服主管,產品企劃主管,長照機構業務負責人,廣告／行銷企劃主管,專案業務主管,飯店／旅館主管
,兼職電銷工讀(新北S1150521004),工讀生,電話客服人員,電話行銷人員,業務助理,客服人員,行銷企劃人員,廣告設計,門市／店員／專櫃人員,活動企劃人員,廣告AE,業務助理,國貿助理,媒體公關人員,電話客服人員,電訪人員,業務助理,行銷企劃人員,廣告設計,門市／店員／專櫃人員,活動企劃人員,廣告AE,國貿助理,媒體公關人員,電話客服人員,電訪人員
,行政門市倉管 (無經驗可) (✨有年終、績效獎金及抽成),行政人員,倉管／物料管理員,店長／門市管理人員,品管／品保主管,客服人員,資材人員,電腦操作／資料輸入,秘書,採購助理,業務助理,行政人員,國貿助理,生管／助理,檔案資料管理人員,財務／會計助理,行政人員,資材人員,電腦操作／資料輸入,秘書,採購助理,業務助理,國貿助理,生管／助理,檔案資料管理人員,財務／會計助理
,資訊服務顧問-台中,其他專案管理師,資訊助理人員,軟體相關管理師,客服工程師,ERP專案管理師,神秘客,電話客服人員,平面設計,客服人員,資料庫管理人員,軟體相關管理師,客服主管,房務人員,空服人員,廣告設計,軟體相關管理師,神秘客,電話客服人員,平面設計,客服人員,資料庫管理人員,客服主管,房務人員,空服人員,廣告設計
,系統工程師-高雄,系統工程師,客服工程師,技術文件／說明書編譯,資安工程師,嵌入式工程師,軟體工程師,IC佈局工程師,水電工程師,PLC／自動控制工程師,IC設計工程師,PCB-Layout佈局工程師,嵌入式工程師,工業設計,土木工程師,建築繪圖／設計,嵌入式工程師,軟體工程師,IC佈局工程師,水電工程師,PLC／自動控制工程師,IC設計工程師,PCB-Layout佈局工程師,工業設計,土木工程師,建築繪圖／設計
,【台南日商】半導體設備工程師(享年終+年中),軟體助理工程師,機械設備組裝測試人員,電機設備裝配員,半導體設備工程師,光學工程師,數位IC設計工程師,RF通訊工程師,BIOS工程師,IC佈局工程師,測試工程師,IC設計工程師,半導體設備工程師,韌體工程師,嵌入式工程師,機電技師／工程師,半導體設備工程師,數位IC設計工程師,RF通訊工程師,BIOS工程師,IC佈局工程師,測試工程師,IC設計工程師,韌體工程師,嵌入式工程師,機電技師／工程師
,台中 中科 ⭐半導體裝機工程師(享年終+年中)須出差,軟體助理工程師,機械設備組裝測試人員,電機設備裝配員,半導體設備工程師,光學工程師,BIOS工程師,工業設計,PLC／自動控制工程師,設備工程主管,電腦組裝／維修,電機設備裝配員,測試工程師,機電技師／工程師,燈光技術人員,電機技師／工程師,電機設備裝配員,BIOS工程師,工業設計,PLC／自動控制工程師,設備工程主管,電腦組裝／維修,測試工程師,機電技師／工程師,燈光技術人員,電機技師／工程師
,機電工程師,水電工程師,電機維修人員,內業工程人員,工地監工,機電技師／工程師,智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,水電工,機構工程師,工業設計,水電工程師,模具技術人員,機械工程師,水電工程師,智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,水電工,機構工程師,工業設計,模具技術人員,機械工程師
,中區(雲林)機械維修工程師,機械工程師,產品設備維修人員,機械設備組裝測試人員,電機維修人員,機電技師／工程師,PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,機構工程師,生產設備工程師,機械加工技術人員,水電工程師,機電技師／工程師,水電工,電器產品維修人員,機電技師／工程師,PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,機構工程師,生產設備工程師,機械加工技術人員,水電工程師,水電工,電器產品維修人員
,助理工程師,太陽能技術工程師,CAD／CAM工程師,水電及其他工程繪圖人員,機械設計／繪圖人員,機電技師／工程師,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,光電／半導體工程助理,冷凍空調繪圖／設計,室內設計助理,工程助理,機械設計／繪圖人員,棚內技術工程人員,機械設計／繪圖人員,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,光電／半導體工程助理,冷凍空調繪圖／設計,室內設計助理,工程助理,棚內技術工程人員
