# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
FRP遊艇化工人員   👉／無經驗可培訓｜學一技之長｜穩定發展機會,紡織化學工程師,化學相關研究人員,事務部船員,化學／化工工程師,艙面部船員,技術人員,塗裝技術人員,木工,焊接技術人員,塑膠模具技術人員,推薦項目命中率改善
機械技術人員,維修技術人員,機械加工技術人員,機械工程師,機械設備組裝測試人員,傳統車床人員,廠務,機械操作人員,廠務助理,技術人員,學徒,推薦項目命中率改善
(薪30k~50k)市場送貨(請直接至攤位147號面試),儲備幹部,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,外務／快遞／送貨,倉管／物料管理員,包裝員／作業員,營建雜工／粗工,學徒,推薦項目命中率改善
正職技術員-顯示玻璃廠*免穿無塵服!! (台中)CT,包裝員／作業員,汽車美容,製鞋類人員,PCB技術人員,車縫人員,技術人員,機械操作人員,機械加工技術人員,電機設備裝配員,學徒,推薦項目命中率改善
淨水設備-技術工程師,環保／環境工程師／技師,環境分析研究員,檢驗人員,技術人員,工程助理,產品設備維修人員,水電工,電機維修人員,機電技師／工程師,學徒,推薦項目命中率改善
組裝人員／ →手排駕照  佳,堆高機操作人員,大貨車司機,大客車司機,聯結車司機,小客車／小貨車司機,組裝組立技術人員,技術人員,機械操作人員,包裝員／作業員,學徒,推薦項目命中率改善
組裝、備貨員／  → 手排駕照佳,小客車／小貨車司機,主管駕駛,聯結車司機,外務／快遞／送貨,大貨車司機,組裝組立技術人員,技術人員,機械操作人員,包裝員／作業員,學徒,推薦項目命中率改善
魔菇部落-導覽銷售專員,導遊／領隊／導覽,票務人員／旅行社人員,活動企劃人員,旅遊休閒類主管,地勤人員,店長／門市管理人員,門市／店員／專櫃人員,國內業務人員,內勤業務,,推薦項目命中率改善
專案助理｜薪資30K起,其他專案管理師,發包人員,估算人員,代書／地政士,都市／交通規劃人員,活動企劃人員,行政人員,設計助理,平面設計,行銷企劃助理,推薦項目命中率改善
營業企劃專員,產品經理,商化人員,市場調查／分析人員,通路開發人員,成本會計人員,國外業務人員,國貿人員,行銷企劃人員,國貿助理,行銷企劃助理,推薦項目命中率改善
不動產店務秘書/房仲祕書,不動產／商場開發人員,土地開發人員,不動產審核／估價師,不動產經紀人／營業員,代書／地政士,秘書,行政助理,行政人員,業務助理,行銷企劃助理,推薦項目命中率改善
會計帳務主管(總公司),經營管理主管,主辦會計,會計師,財務／會計主管,總務主管,財務分析／財務人員,會計／出納／記帳人員,稅務人員,查帳／審計人員,,推薦項目命中率改善
1.行政櫃枱老師,國中教師,課業輔導老師,升學補習班老師,其他教育類老師,語文補習班老師,學校行政人員,行政人員,行政助理,補習班招生人員,業務助理,推薦項目命中率改善
2.行政櫃枱老師,國中教師,課業輔導老師,升學補習班老師,其他教育類老師,語文補習班老師,學校行政人員,行政人員,行政助理,補習班招生人員,業務助理,推薦項目命中率改善
外勤助理(嘉義市),隨車人員,都市／交通規劃人員,德文翻譯,運輸調度管理人員,印尼翻譯,秘書,特別助理,主管駕駛,儲備幹部,業務助理,推薦項目命中率改善
營業部-營運管理副組長(歡迎無百貨經驗人才),經營管理主管,總務主管,主辦會計,行政主管,特別助理,基層管理幹部,售票／收銀人員,樓面管理人員,儲備幹部,業務助理,推薦項目命中率改善
台南文書專員月薪 3.2萬-4.9萬,法文翻譯,技術文件／說明書編譯,校對人員,圖書管理人員,法務助理,行政助理,檔案資料管理人員,內業工程人員,水電及其他工程繪圖人員,業務助理,推薦項目命中率改善
辦公室小幫手 月薪 29500元起,衣物整燙人員,大圖輸出後製人員,櫥窗／會場設計人員,行政人員,家事服務／洗衣整燙,行政助理,檔案資料管理人員,內業工程人員,水電及其他工程繪圖人員,業務助理,推薦項目命中率改善
英文秘書,英文翻譯,日文翻譯,法文翻譯,德文翻譯,西班牙文翻譯,秘書,英文翻譯／口譯人員,技術文件／說明書編譯,行政人員,業務助理,推薦項目命中率改善
＊派遣{中信銀}內外勤助理(亞灣分行),授權／授信／徵信人員,銀行辦事人員,徵信／調查人員,帳款催收人員,成本會計人員,行政助理,電腦操作／資料輸入,工讀生,外務／快遞／送貨,業務助理,推薦項目命中率改善
正職人員(台中漢口店)-固定周休,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,其他料理廚師,門市／店員／專櫃人員,印前製作人員,總機／接待／櫃檯人員,電腦操作／資料輸入,業務助理,推薦項目命中率改善
全家便利商店––鴻啟店★★正職大夜班,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
遠傳電信 資深門市專員 (台中全區),電話行銷人員,電話客服人員,客服人員,國內業務人員,補習班招生人員,店長／門市管理人員,門市／店員／專櫃人員,儲備幹部,國內業務主管,專案業務主管,推薦項目命中率改善
數位行銷業務主管,產品企劃主管,策展人員,國內業務主管,廣告／行銷企劃主管,電商行銷,客服人員,社群經營人員,行銷企劃人員,行銷企劃助理,電話客服人員,推薦項目命中率改善
募款企劃(公共事務室),醫院行政管理人員,公家機關相關人員,政治相關研究人員,市場調查／分析人員,工商登記服務類人員,行銷企劃人員,社群經營人員,活動企劃人員,數位行銷人員,公關企劃人員,推薦項目命中率改善
正職現場服務人員(建工館),餐飲服務人員,飯店／旅館工作人員,餐飲領班,學徒,洗碗人員,門市／店員／專櫃人員,休閒娛樂事業從業人員,總機／接待／櫃檯人員,冷熱飲調製人員,客服人員,推薦項目命中率改善
全職英文助教（週休二日）,英文翻譯,語文補習班老師,作文老師,日文翻譯,其他教育類老師,補習班導師,總機／接待／櫃檯人員,行政人員,補習班招生人員,客服人員,推薦項目命中率改善
📌管路技術人員,金屬建材架構人員,防水施工人員,砌磚工及砌石工,學徒,焊接技術人員,水電工,電信／配線繪圖,弱電工程師,水電工程師,機電技師／工程師,推薦項目命中率改善
沖壓模具製造組立人員,機械加工技術人員,包裝員／作業員,傳統車床人員,焊接技術人員,組裝組立技術人員,沖壓模具技術人員,金屬模具技術人員,模具技術人員,機械設計／繪圖人員,機構工程師,推薦項目命中率改善
研發工程師,半導體製程工程師,測試工程師,生產線工程師,零組件工程師,醫療器材研發工程師,機構工程師,軟體工程師,電子工程師,機械工程師,機械設計／繪圖人員,推薦項目命中率改善
助理工程師,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,測試工程師,水電及其他工程繪圖人員,電機技師／工程師,電信／配線繪圖,機電技師／工程師,機械設計／繪圖人員,推薦項目命中率改善
機電品管,測量／儀校人員,營建主管,營造工程師,現場規劃工程師,水土保持技師,機電技師／工程師,電機設備裝配員,品管人員,冷凍空調繪圖／設計,機械設計／繪圖人員,推薦項目命中率改善
高低壓電盤裝配工程師(無經驗可),電子設備維修人員,電源工程師,PCB技術人員,通信維修人員,半導體設備工程師,電機技師／工程師,組裝組立技術人員,學徒,技術人員,電機設備裝配員,推薦項目命中率改善
電梯技術學徒(台中),焊接技術人員,金屬建材架構人員,鈑金技術人員,機械設備組裝測試人員,學徒,電機維修人員,電機技師／工程師,產品設備維修人員,機電技師／工程師,電機設備裝配員,推薦項目命中率改善
電梯技術人員(新竹),機械設備組裝測試人員,焊接技術人員,維修技術人員,鈑金技術人員,傳統車床人員,電機維修人員,電機技師／工程師,產品設備維修人員,機電技師／工程師,電機設備裝配員,推薦項目命中率改善
電梯技術人員(桃園),機械設備組裝測試人員,維修技術人員,焊接技術人員,鈑金技術人員,傳統車床人員,電機維修人員,電機技師／工程師,產品設備維修人員,機電技師／工程師,電機設備裝配員,推薦項目命中率改善
工程助理/機構助理 ★仲介勿擾  謝謝★,維修技術人員,產品設備維修人員,機械工程師,機械加工技術人員,機械設備組裝測試人員,工程助理,機械設計／繪圖人員,電信／通訊系統工程師,PCB-Layout佈局工程師,軟體助理工程師,推薦項目命中率改善
病理技術人員,專科護理師,護理長,護理師,醫事檢驗師,勞工健康服務護理人員／廠護,生物科技研發人員,醫藥研發人員,病理藥理研究人員,臨床／實驗室研究人員,數據分析師／資料分析師,推薦項目命中率改善
研發工程師,半導體製程工程師,測試工程師,生產線工程師,零組件工程師,醫療器材研發工程師,軟體工程師,韌體工程師,電子工程師,類比IC設計工程師,RF通訊工程師,推薦項目命中率改善
📢機電工程師,水電工,維修技術主管,水利工程師,能源工程師,營建主管,機械設計／繪圖人員,機構工程師,CAD／CAM工程師,PLC／自動控制工程師,機械工程師,推薦項目命中率改善
繪圖人員（相關科系無經驗可）,水電及其他工程繪圖人員,機電配線繪圖,消防繪圖人員,消防專業人員,建築師,CAD／CAM工程師,機械設計／繪圖人員,電機技師／工程師,機電技師／工程師,機械工程師,推薦項目命中率改善
紡織(刺繡)設備技術人員-北部,紡織工務,樣品師,打版人員,製鞋類人員,車縫人員,技術人員,產品設備維修人員,電機維修人員,電機技師／工程師,機械工程師,推薦項目命中率改善
紡織(刺繡)設備技術人員-中部,紡織工務,樣品師,打版人員,車縫人員,製鞋類人員,技術人員,產品設備維修人員,電機維修人員,電機技師／工程師,機械工程師,推薦項目命中率改善
(免經驗)拆裝技術員,堆高機操作人員,包裝員／作業員,汽車美容,清潔／資源回收人員,挖土／推土機相關操作人員,水電工,防水施工人員,產品設備維修人員,技術人員,學徒,推薦項目命中率改善
🏅配管技師(月薪45000元～70000元，有住宿/供餐/年終/尾牙/教育訓練/國內外旅遊/績效獎金),天然瓦斯配管技師/助理,學徒,金屬建材架構人員,防水施工人員,焊接技術人員,維修技術人員,技術人員,營建工程人員,水電工,冷凍空調技術人員／安裝員,推薦項目命中率改善
📢業務助理 ✨待優 歡迎電洽或親洽面試✨,不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,不動產經紀人／營業員,業務助理,採購助理,國貿助理,社群經營人員,行銷企劃助理,推薦項目命中率改善
早班正職人員(台北建國店),餐飲服務人員,日式廚師,中式廚師,中／港式點心廚師,儲備幹部,門市／店員／專櫃人員,電腦操作／資料輸入,檔案資料管理人員,業務助理,資訊助理人員,推薦項目命中率改善
"【路科大量徵才】報到獎金加碼到42k😎,可自選班別,夜校生可",工讀生,補習班招生人員,餐飲服務人員,電訪人員,加油服務,包裝員／作業員,技術人員,機械操作人員,塗裝技術人員,PCB技術人員,推薦項目命中率改善
全家便利商店––鴻啟店★★正職早班,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
